fid,username,user_display_name,user_pfp_url,eth_address,app_name,icon_url,domain,official_trending_score,momentum,arbitrum_txs,arbitrum_users,engagement_ratio,arbitrum_percentage,arbitrum_tx_score,arbitrum_user_score,arbitrum_focus_score,dedication_bonus,arbitrum_weighted_score,App Score,Escrow Address,Escrow Active,Include in Rewards
5713,streetphoto,streetphotography.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/42efb778-4517-40f9-360a-dcf5fc56ab00/original,0x7c6f3877c942089866b6ca13c2f58e94cfe72978,FID Punks,https://fidpunks.xyz/icon.png,fidpunks.xyz,40.69,1.76,16,16,1,0.25,2.461,3.691,0.496,0,29.1,2910,,FALSE,N
268438,cashlessman.eth,cashlessman 🎩,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/a74b030e-2d92-405c-c2d0-1696f5d51d00/original,0x6100b29a235ebb272f4b10c1964ad9692ee67e13,Quotes App,https://quotes.itscashless.com/logo.png,quotes.itscashless.com,14.62,1.682,200,100,2,100,4.606,6.013,10,5,26.01,2601,,FALSE,Y
537378,gmonchain.eth,GMonchain.base.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c626c36d-6fbe-4aab-4623-392b21089d00/original,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,The Recognizer,https://github.com/gmonchain/Assets/blob/main/The%20Recognizer/logo.png?raw=true,therecognizer.xyz,10.66,1.698,829,42,19.74,100,5.838,4.9,10,5,23.88,2388,,FALSE,Y
1108574,harshshukla,hsrah,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/e0347242-34e2-4135-c06d-e9ebda51be00/original,0xd85395def3d633e786291bf9de54d324eebc7917,Flapbitrum,https://flapbitrum.vercel.app/images/logo.png,flapbitrum.vercel.app,11.13,1.681,203,30,6.77,100,4.619,4.474,10,5,22.88,2288,,FALSE,Y
13874,thedude,The Dude Bart🐘🌳 ⌐◨-◨,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/77692cb0-6fb5-40c7-ced3-42353e178b00/original,0xdd8a40a15f0fe67d4ec52adf0ee24489e8d8a58a,Bribe,https://bribe-lyart.vercel.app/iconUrl.png,bribe-lyart.vercel.app,14.16,1.768,16,6,2.67,100,2.461,2.535,10,5,22.64,2264,,FALSE,Y
249702,0xanas.eth,Anas,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/34bbb7a8-5aa3-45ea-b646-2638342d2300/original,0xe6cfdaf74bfec00fafde9724a46cb052548c8488,Chain Crush,https://chain-crush-black.vercel.app//images/icon.jpg,chain-crush-black.vercel.app,11.25,1.644,106,23,4.61,100,4.059,4.141,10,5,22,2200,,FALSE,Y
230238,mvr,mvr 🐹,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4b6228ac-5a61-4429-675d-b8d62665a300/original,0xa272bc9d6f462f4f08849adeaf6e49a5d4430c38,Purple Rain,https://clanker.onchain.cooking/clanker/icon.png,clanker.onchain.cooking,20.81,1.258,757,369,2.05,19.19,5.759,7.705,4.381,0,21.46,2146,,FALSE,Y
1132540,ripsapp,Rips,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/a6861c5b-59b4-467a-cc92-a8453948ec00/original,0x2cd003e6dd704d0806545d028221ce5b17ed7b88,Rips,https://rips.app/icon.png,rips.app,32.13,1.45,1,1,1,0,0.602,0.903,0.042,0,20.18,2018,,FALSE,N
191042,atown,atown,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/368c4a23-9380-46b0-a3e8-e32895bf9300/original,0xd538c0cda944b1450fa1e353b6a464c190a466fe,Emerge,https://emerge-mini-app.vercel.app/logo.webp,emerge-mini-app.vercel.app,26.86,1.218,29,17,1.71,1.07,2.954,3.766,1.035,0,19.89,1989,,FALSE,Y
1041585,qrcoindotfun,qrcoin.fun,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/1a6c9d61-f537-44ea-17c8-1126fdaccc00/original,0x27bcc2c052f49a24bf5fff0d4c136ae7d208ee85,$QR,https://qrcoin.fun/qrLogo.png,qrcoin.fun,30.42,1.302,4,2,2,0.05,1.398,1.431,0.219,0,19.84,1984,,FALSE,N
